*BISMUTH:0000:0:1:1:1195:1149/1 241
141SUR0CCKK11 89/89 1.000000
142DCM0CCKK11 89/89 1.000000
142SUR0CCKK11 89/89 1.000000
148SUR0CCKK11 89/89 1.000000
150SUR0CCKK11 89/89 1.000000
36DCM0CCII11 89/89 1.000000
38DCM0CCII11 89/89 1.000000
38MES01CCII11 89/89 1.000000
38SUR0CCII11 89/89 1.000000
41DCM0CCII11 89/89 1.000000
41SUR0CCII11 89/89 1.000000
42DCM0CCII11 89/89 1.000000
42SUR0CCII11 89/89 1.000000
45SUR0CCII11 89/89 1.000000
57SUR0CCKK11 89/89 1.000000
58DCM0CCKK11 89/89 1.000000
62SUR0CCKK11 89/89 1.000000
65DCM0CCKK11 89/89 1.000000
65SUR0CCKK11 89/89 1.000000
66DCM0CCKK11 89/89 1.000000
66SUR0CCKK11 89/89 1.000000
140SUR0CCKK11 88/89 0.988764
146SUR0CCKK11 88/89 0.988764
56SUR0CCKK11 88/89 0.988764
78DCM0CCEE11 88/89 0.988764
149SUR0CCKK11 87/89 0.977528
36SUR0CCII11 87/89 0.977528
145SUR0CCKK11 84/89 0.943820
33SUR0CCII11 83/89 0.932584
64SUR0CCKK11 83/89 0.932584
150DCM0CCKK11 82/89 0.921348
39DCM0IIQQ11 81/89 0.910112
110DCM0CCKK11 78/89 0.876405
151SUR0CCKK11 77/89 0.865169
52SUR0CCII11 77/89 0.865169
110SUR0CCKK11 76/89 0.853933
70SUR0CCEE11 76/89 0.853933
78DCM0CCKK11 76/89 0.853933
109DCM0CCKK11 75/89 0.842697
137SUR0CCKK11 75/89 0.842697
78SUR0CCEE11 75/89 0.842697
34SUR0CCII11 74/89 0.831461
78SUR0CCKK11 74/89 0.831461
109SUR0CCKK11 73/89 0.820225
30DCM0CCII11 73/89 0.820225
31SUR1CCII11 73/89 0.820225
18SUR0CCII11 72/89 0.808989
30SUR0CCII11 72/89 0.808989
70SUR0CCKK11 72/89 0.808989
102DCM0CCKK11 71/89 0.797753
32DCM0CCII11 71/89 0.797753
78DCM0EEGG11 71/89 0.797753
110MES0CCKK11 70/89 0.786517
70SUR0EEGG11 70/89 0.786517
7SUR0CCII11 70/89 0.786517
32SUR0CCII11 69/89 0.775281
9SUR0CCII11 69/89 0.775281
151DCM0CCKK11 68/89 0.764045
34DCM0CCII11 68/89 0.764045
102SUR0CCKK11 67/89 0.752809
25DCM0CCII11 67/89 0.752809
23SUR0CCII11 65/89 0.730337
25SUR0CCII11 65/89 0.730337
111DCM0CCKK11 64/89 0.719101
152SUR0CCKK11 64/89 0.719101
18DCM0CCII11 64/89 0.719101
78MES0CCKK11 64/89 0.719101
23DCM0CCII11 63/89 0.707865
72SUR0CCKK11 62/89 0.696629
68SUR0CCEE11 60/89 0.674157
138DCM0CCKK11 59/89 0.662921
152ZZZ00CCKK11 59/89 0.662921
76DCM0EEGG11 59/89 0.662921
52DCM0CCII11 58/89 0.651685
100DCM0CCKK11 57/89 0.640449
4DCM0CCII11 57/89 0.640449
138SUR0CCKK11 56/89 0.629214
72DCM0CCKK11 56/89 0.629214
72MES0CCKK11 56/89 0.629214
68DCM0EEGG11 55/89 0.617977
4SUR1CCII11 54/89 0.606742
9DCM0CCII11 54/89 0.606742
56MES0CCKK11 53/89 0.595506
100SUR0CCKK11 52/89 0.584270
76SUR0CCEE11 52/89 0.584270
128DCM0CCKK11 51/89 0.573034
68SUR0CCKK11 51/89 0.573034
68DCM0CCKK11 48/89 0.539326
78SUR0EEGG11 48/89 0.539326
128SUR0CCKK11 47/89 0.528090
132DCM0CCKK11 47/89 0.528090
111SUR0CCKK11 46/89 0.516854
34SUR0BBCC11 46/89 0.516854
68SUR0EEGG11 46/89 0.516854
146MES0CCKK11 45/89 0.505618
148MES0CCKK11 45/89 0.505618
122DCM0CCEE11 44/89 0.494382
68DCM0CCEE11 44/89 0.494382
64DCM0CCKK11 43/89 0.483146
76DCM0CCEE11 43/89 0.483146
76DCM0CCKK11 43/89 0.483146
132SUR0CCKK11 41/89 0.460674
76SUR0EEGG11 40/89 0.449438
48SUR0CCII11 37/89 0.415730
124MXL00CCEE11 35/89 0.393258
65DCM0BBCC11 35/89 0.393258
123MXL00CCKK11 32/89 0.359551
149MES0CCKK11 30/89 0.337079
70MES0CCEE11 30/89 0.337079
155MES0CCKK11 28/89 0.314607
155SUR0CCKK11 27/89 0.303371
70MES0EEGG11 27/89 0.303371
98MES0CCKK11 27/89 0.303371
37MES00BBCC11 26/89 0.292135
112DCM0CCKK11 25/89 0.280899
124SUR0CCKK11 25/89 0.280899
138MES0CCKK11 25/89 0.280899
76MES0CCKK11 24/89 0.269663
163MES0CCKK11 23/89 0.258427
37MES00CCII11 23/89 0.258427
65MES0CCKK11 23/89 0.258427
67SUR0CCEE11 23/89 0.258427
76SUR0CCKK11 23/89 0.258427
112SUR0CCKK11 22/89 0.247191
122DCM0CCKK11 22/89 0.247191
123SUR0CCEE11 22/89 0.247191
145MES0CCKK11 22/89 0.247191
68MES0CCKK11 22/89 0.247191
96SUR0CCKK11 22/89 0.247191
122DCM0EEGG11 21/89 0.235955
123SUR0CCKK11 21/89 0.235955
124MXL00CCKK11 21/89 0.235955
125MXL00CCKK11 21/89 0.235955
133DCM0CCKK11 21/89 0.235955
122SUR0CCKK11 20/89 0.224719
132MES0CCKK11 20/89 0.224719
133SUR0CCKK11 20/89 0.224719
155DCM0CCKK11 20/89 0.224719
93DCM0CCKK11 20/89 0.224719
99SUR0CCKK11 20/89 0.224719
124SUR0EEGG11 19/89 0.213483
125MXL00EEGG11 19/89 0.213483
68MES0EEGG11 19/89 0.213483
70MES0CCKK11 19/89 0.213483
7DCM0CCII11 19/89 0.213483
112MES0CCKK11 18/89 0.202247
122MES0EEGG11 18/89 0.202247
124SUR0CCEE11 18/89 0.202247
125SUR0EEGG11 18/89 0.202247
210MES0CCKK11 18/89 0.202247
38SUR0BBCC11 18/89 0.202247
123MES00CCEE11 17/89 0.191011
124MXL00EEGG11 17/89 0.191011
133MES0CCKK11 17/89 0.191011
152MES0CCKK11 17/89 0.191011
205MES0CCKK11 17/89 0.191011
122SUR0EEGG11 16/89 0.179775
123MES00EEGG11 16/89 0.179775
123SUR0EEGG11 16/89 0.179775
201MES0CCKK11 16/89 0.179775
206MES0CCKK11 16/89 0.179775
67SUR0EEGG11 16/89 0.179775
85MES0CCKK11 16/89 0.179775
122MES0CCKK11 15/89 0.168539
178SUR0CCKK11 15/89 0.168539
64MES0CCKK11 15/89 0.168539
93SUR0CCKK11 15/89 0.168539
98DCM0CCKK11 15/89 0.168539
111MES0CCKK11 14/89 0.157303
122MES0BBCC11 14/89 0.157303
122SUR0CCEE11 14/89 0.157303
123MXL00BBCC11 14/89 0.157303
125SUR0CCEE11 14/89 0.157303
137MES0CCKK11 14/89 0.157303
142MES0CCKK11 14/89 0.157303
158MES0CCKK11 14/89 0.157303
209MES0CCKK11 14/89 0.157303
82DCM0CCKK11 14/89 0.157303
84SUR0CCKK11 14/89 0.157303
85DCM0CCKK11 14/89 0.157303
102MES0CCKK11 13/89 0.146067
122MES0CCEE11 13/89 0.146067
124MXL00BBCC11 13/89 0.146067
125MXL00CCEE11 13/89 0.146067
125SUR0CCKK11 13/89 0.146067
175ZZZ0CCKK11 13/89 0.146067
39MES00BBCC11 13/89 0.146067
65SUR0BBCC11 13/89 0.146067
67SUR0CCKK11 13/89 0.146067
98SUR0CCKK11 13/89 0.146067
109MES0CCKK11 12/89 0.134831
180SUR0CCKK11 12/89 0.134831
189MES0CCKK11 12/89 0.134831
194SUR0CCKK11 12/89 0.134831
201DCM0CCKK11 12/89 0.134831
